scenario_id,official_irs_scenario,official_pdf_url,in_backend_matrix,backend_source_file,backend_primary_tin,ats_strict_tin_00_compliant
S1,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-1-09192024.pdf,YES,scenario-1-tara-black.json,400001032,YES
S2,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-2-09192024.pdf,YES,scenario-2-jones.json,400001038,YES
S3,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-3-09192024.pdf,YES,scenario-3-heather.json,400001035,YES
S4,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-4-09192024.pdf,YES,scenario-4-smith.json,400001037,YES
S5,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-5-09192024.pdf,YES,scenario-5-barker.json,400001039,YES
S6,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-6-09192024.pdf,YES,scenario-6-torres.json,400001041,YES
S7,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-7-09192024.pdf,YES,scenario-7-boone.json,400001042,YES
S8,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-8-09192024.pdf,YES,scenario-8-lewis.json,400001039,YES
S12,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-12-11272024.pdf,YES,scenario-12-gardenia.json,400001212,YES
S13,YES,https://www.irs.gov/pub/irs-utl/ty25-1040-mef-ats-scenario-13-11272024.pdf,YES,scenario-13-birch.json,400001313,YES
S14,NO,,YES,scenario-14-martinez-gig.json,400141040,N/A
S15,NO,,YES,scenario-15-wilson-retired.json,400151041,N/A
S16,NO,,YES,scenario-16-johnson-student.json,400161043,N/A
S17,NO,,YES,scenario-17-patel-investor.json,400171044,N/A
S18,NO,,YES,scenario-18-thompson-rental.json,400181047,N/A
S19,NO,,YES,scenario-19-garcia-itemized.json,400191048,N/A
S20,NO,,YES,scenario-20-lee-healthcare.json,400201052,N/A
S21,NO,,YES,scenario-21-kim-childcare.json,400211053,N/A
S22,NO,,YES,scenario-22-nguyen-crypto.json,400221057,N/A
S23,NO,,YES,scenario-23-brown-military.json,400231058,N/A
S24,NO,,YES,scenario-24-davis-clergy.json,400241061,N/A
S25,NO,,YES,scenario-25-anderson-hsa.json,400251062,N/A
S26,NO,,YES,scenario-26-clark-foreign.json,400261063,N/A
S27,NO,,YES,scenario-27-moore-energy.json,400271064,N/A
S28,NO,,YES,scenario-28-taylor-qbi.json,400281066,N/A
S29,NO,,YES,scenario-29-white-k1.json,400291067,N/A
S30,NO,,YES,scenario-30-harris-unemployment.json,400301068,N/A
S31,NO,,YES,scenario-31-jackson-gambling.json,400311069,N/A
S32,NO,,YES,scenario-32-chen-ev.json,400321070,N/A
S33,NO,,YES,scenario-33-wright-amt.json,400331071,N/A
NR1,YES,https://www.irs.gov/pub/irs-utl/ty25-1040nr-mef-ats-scenario-1-09192024.pdf,YES,scenario-nr1-leblanc.json,123001111,YES
NR2,YES,https://www.irs.gov/pub/irs-utl/ty25-1040nr-mef-ats-scenario-2-09192024.pdf,YES,scenario-nr2-desilva.json,123003333,YES
NR3,YES,https://www.irs.gov/pub/irs-utl/ty25-1040nr-mef-ats-scenario-3-09192024.pdf,YES,scenario-nr3-alfaro.json,123004444,YES
NR4,YES,https://www.irs.gov/pub/irs-utl/ty25-1040nr-mef-ats-scenario-4-09192024.pdf,YES,scenario-nr4-hill.json,123005555,YES
NR5,NO,,YES,scenario-nr5-chen.json,123051115,N/A
NR12,YES,https://www.irs.gov/pub/irs-utl/ty25-1040nr-mef-ats-scenario-12-11272024.pdf,YES,scenario-nr12-harrier.json,123001112,YES
